book,author,qtype,question,answer
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,In which book did the main character’s mother disappear right before their thirteenth birthday?,A Time Traveler’s Theory of Relativity by Nicole Valentine (p. 3)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,"In which book is the “Many Worlds” principle described as other universes pushed up right next to us, almost identical to ours but with small changes?",A Time Traveler’s Theory of Relativity by Nicole Valentine (p. 45)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,In which book does a doctor lie about calling the library to try to locate the main character’s father?,A Time Traveler’s Theory of Relativity by Nicole Valentine (p.92)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,In which book are two friends described as “remainders;” both living an extra careful life so their parents won’t relive the pain of losing a child?,A Time Traveler’s Theory of Relativity by Nicole Valentine (p.107)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,In which book do friends prepare an email for delayed delivery which would explain they were on a mountain search?,A Time Traveler’s Theory of Relativity by Nicole Valentine (p. 108)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,In which book do Initials and their time traveling selves appear to stutter or shimmer if they are in close proximity to each other?,A Time Traveler’s Theory of Relativity by Nicole Valentine (p.118)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,In which book is there a secret society to protect the timeline?,A Time Traveler’s Theory of Relativity by Nicole Valentine (p. 155)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,In which book does a character keep a note in his pocket from his grandmother that reads “I was wrong. Don’t trust anyone?”,A Time Traveler’s Theory of Relativity by Nicole Valentine (p. 72)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,"In which book does ISTA, The International Society for Temporal Adherence, become a problem?",A Time Traveler’s Theory of Relativity by Nicole Valentine (p.116)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,In which book does an unknown character occasionally speak directly to the reader between chapters?,A Time Traveler’s Theory of Relativity by Nicole Valentine (p.185)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,In which book are “nodes’ like knots on a thread where you can grab hold and then jump off; they’re markers and landing points?,A Time Traveler’s Theory of Relativity by Nicole Valentine (p. 203)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,In which book are “imprints” alternative timelines from the “prime imprint” of the original timeline?,A Time Traveler’s Theory of Relativity by Nicole Valentine (p. 208)
A Time Traveler’s Theory of Relativity,Nicole Valentine,iwb,"In which book does the story include multiple universes, each with multiple timelines? ",A Time Traveler’s Theory of Relativity by Nicole Valentine (p. 322)
A Time Traveler’s Theory of Relativity,Nicole Valentine,con,"In A Time Traveler’s Theory of Relativity by Nicole Valentine, why was Finn reluctant to go swimming with his good friend Gabi at the quarry?",It was where his twin sister had drowned. (p. 18)
A Time Traveler’s Theory of Relativity,Nicole Valentine,con,"In A Time Traveler’s Theory of Relativity by Nicole Valentine, Gabi and Finn became friends when she dreamt that he was in trouble and couldn’t get back home. What did she send him?",A ball of sunlight (p. 22)
A Time Traveler’s Theory of Relativity,Nicole Valentine,con,"In A Time Traveler’s Theory of Relativity by Nicole Valentine, who are the two tiny figures in the quarry photo that Finn studies in his father's office?",Finn and Grace (p. 105)
A Time Traveler’s Theory of Relativity,Nicole Valentine,con,"In A Time Traveler’s Theory of Relativity by Nicole Valentine, what gender have the family’s time travelers been?",Female; they have all been women (p. 155)
A Time Traveler’s Theory of Relativity,Nicole Valentine,con,"In A Time Traveler’s Theory of Relativity by Nicole Valentine, Finn’s mother built a portal, a way to reach her in an emergency. What is the portal made from?",A tree (p. 63)
A Time Traveler’s Theory of Relativity,Nicole Valentine,con,"In A Time Traveler’s Theory of Relativity by Nicole Valentine, Finn and Gabi come upon a cabin in the woods. What is nailed above the door?",A rotting animal skull (p. 179)
A Time Traveler’s Theory of Relativity,Nicole Valentine,con,"In A Time Traveler’s Theory of Relativity by Nicole Valentine, who is trying to make decisions about what should be changed in history?",Doc and/or his faction of ISTA (p. 207)
A Time Traveler’s Theory of Relativity,Nicole Valentine,con,"In A Time Traveler’s Theory of Relativity by Nicole Valentine, Finn is told of the most powerful time traveler in their family. Who is it?","Faith, his sister (p. 209)"
A Time Traveler’s Theory of Relativity,Nicole Valentine,con,"In A Time Traveler’s Theory of Relativity by Nicole Valentine, Finn finally finds his mother who then shares her plan with him. Why does resentment explode inside Finn after his mother asks for his help?",His mother never intends to return home with him; she will stay behind to try to raise and teach his sister with love. (p. 219)
A Time Traveler’s Theory of Relativity,Nicole Valentine,con,"In A Time Traveler’s Theory of Relativity by Nicole Valentine, before time traveling to find his sister, Faith, Finn feels in his pocket for his meager arsenal of three objects. What are any two of the three objects?","Gran’s note, the grounding stone, and/or the skeleton key ring (p. 223)"
A Time Traveler’s Theory of Relativity,Nicole Valentine,con,"In A Time Traveler’s Theory of Relativity by Nicole Valentine, Gran tells Finn that time is stubborn, and changing the outcome of time is not about the beat of a wing or catching a later bus. What does Gran say is the key to changing timeline outcomes?","If you want to change time, you must change hearts. It’s about people’s choices to be kind. (p. 324)"
A Time Traveler’s Theory of Relativity,Nicole Valentine,con,"In A Time Traveler’s Theory of Relativity by Nicole Valentine, Gabi finally teases Finn that he should fear and respect her because she is now part machine. Why is she now “part machine?”",Gabi’s serious injuries left her with metal pins inserted into her arm. (p. 327)
A Time Traveler’s Theory of Relativity,Nicole Valentine,con,"In A Time Traveler’s Theory of Relativity by Nicole Valentine, the book closes with Finn mentally connecting with an old woman who is standing in front of a bank. Who is she?","Finn’s sister, Faith (p. 335)"
Before the Ever After,Jacqueline Woodson,iwb,In which book do they visit Village Ice Cream?,Before the Ever After by Jacqueline Woodson (p. 6)
Before the Ever After,Jacqueline Woodson,iwb,"In which book did someone break their arm skateboarding, and who was it?","Before the Ever After, and Daniel, by Jacqueline Woodson (p. 8)"
Before the Ever After,Jacqueline Woodson,iwb,In which book does someone have a bike named Magic Broom?,Before the Ever After by Jacqueline Woodson (p. 14)
Before the Ever After,Jacqueline Woodson,iwb,In which book do they listen to the Beastie Boys after the first day of school? ,Before the Ever After by Jacqueline Woodson (p. 19)
Before the Ever After,Jacqueline Woodson,iwb,"In which book do they have pizza night with extra cheese, extra sausage and lots of olives?",Before the Ever After by Jacqueline Woodson (p. 21)
Before the Ever After,Jacqueline Woodson,iwb,In which book did someone’s grandma lose a leg because of diabetes?,Before the Ever After by Jacqueline Woodson (p. 25)
Before the Ever After,Jacqueline Woodson,iwb,In which book does the character live 8 blocks away from school?,Before the Ever After by Jacqueline Woodson (p. 40)
Before the Ever After,Jacqueline Woodson,iwb,In which book are they doing a puzzle with a Yeti on top of a mountain?,Before the Ever After by Jacqueline Woodson (p. 44)
Before the Ever After,Jacqueline Woodson,iwb,"In which book do they eat breakfast for dinner, pancakes and bacon and scrambled eggs? ",Before the Ever After by Jacqueline Woodson (p. 75)
Before the Ever After,Jacqueline Woodson,iwb,In which book did someone receive a guitar on their seventh birthday?,Before the Ever After by Jacqueline Woodson (p. 78)
Before the Ever After,Jacqueline Woodson,iwb,In which book does someone have a pillow that smells like lavender oil?,Before the Ever After by Jacqueline Woodson (p. 92)
Before the Ever After,Jacqueline Woodson,iwb,In which book is the phrase “I need the trail” used as a code?,Before the Ever After by Jacqueline Woodson (p. 114)
Before the Ever After,Jacqueline Woodson,iwb,In which book do they reference the song “I Wanna Dance With Somebody” by Whitney Houston?,Before the Ever After by Jacqueline Woodson (p. 128)
Before the Ever After,Jacqueline Woodson,con,"In Before the Ever After by Jacqueline Woodson, in what year does the book begin? ","1999 (p. 0, Part 1)"
Before the Ever After,Jacqueline Woodson,con,"In Before the Ever After by Jacqueline Woodson, what is their dad’s nickname?",Zachariah44 (p.4)
Before the Ever After,Jacqueline Woodson,con,"In Before the Ever After by Jacqueline Woodson, how many “pounds of pain” is his father?",Answer: 223 (p. 5)
Before the Ever After,Jacqueline Woodson,con,"In Before the Ever After by Jacqueline Woodson, which friend can divide fractions in their head?",Ollie (p. 14)
Before the Ever After,Jacqueline Woodson,con,"In Before the Ever After by Jacqueline Woodson, what does the note say that was pinned to Ollie when he was abandoned at the church?",Please take care of this baby. And love him like crazy too. (p. 16)
Before the Ever After,Jacqueline Woodson,con,"In Before the Ever After by Jacqueline Woodson, what is the name of the town they live in?",Maplewood (p. 23)
Before the Ever After,Jacqueline Woodson,con,"In Before the Ever After by Jacqueline Woodson, what genre of book does ZJ like to read?",Realistic Fiction (p. 27)
Before the Ever After,Jacqueline Woodson,con,"In Before the Ever After by Jacqueline Woodson, what is the name of Ollie’s mother? ",Bernadette (p. 32)
Before the Ever After,Jacqueline Woodson,con,"In Before the Ever After by Jacqueline Woodson, what color rain boots does Daniel have?",Blue (p. 44)
Before the Ever After,Jacqueline Woodson,con,"In Before the Ever After by Jacqueline Woodson, what did they name the birch tree? ",Sweet Pine (p. 53)
Before the Ever After,Jacqueline Woodson,con,"In Before the Ever After by Jacqueline Woodson, what position does Sightman play? ",Wide Receiver (p. 70)
Before the Ever After,Jacqueline Woodson,con,"In Before the Ever After by Jacqueline Woodson, which birthday are they celebrating for Daniel, when they meet at the skate park?",12 (p.107)
Before the Ever After,Jacqueline Woodson,con,"In Before the Ever After by Jacqueline Woodson, what does ZJ call his dad’s older sister?",Auntie Nan (p. 132)
Circus Mirandus,Cassie Beasley,iwb,"In which book does Big Jean, The World’s Most Intelligent Elephant, solve math problems on a chalkboard?",Circus Mirandus by Cassie Beasley (p. 166)
Circus Mirandus,Cassie Beasley,iwb,In which book is Victoria also known as The Amazing Amazonian Bird Woman?,Circus Mirandus by Cassie Beasley (p. 190)
Circus Mirandus,Cassie Beasley,iwb,"In which book did children chew jelly cubes that lit up whenever they bit down on them, and the candy glowed right through the skin of their cheeks?",Circus Mirandus by Cassie Beasley (p. 157)
Circus Mirandus,Cassie Beasley,iwb,In which book is the music of pipes and drums heard before a magic circus appears? ,Circus Mirandus by Cassie Beasley (p. 149)
Circus Mirandus,Cassie Beasley,iwb,In which book do friends create a school project using knots like an Incan quipu? ,Circus Mirandus by Cassie Beasley (p. 100)
Circus Mirandus,Cassie Beasley,iwb,In which book does a character offer someone a miracle “as long as it is within my power.”?,Circus Mirandus by Cassie Beasley (p. 120)
Circus Mirandus,Cassie Beasley,iwb,In which book is a character called both “Lightbender” and the Man Who Bends Light? ,Circus Mirandus by Cassie Beasley (p. 133)
Circus Mirandus,Cassie Beasley,iwb,In which book does a character twist or yank her braids when she is nervous?,Circus Mirandus by Cassie Beasley (p. 46)
Circus Mirandus,Cassie Beasley,iwb,"In which book is there a menagerie where all of the animals were magical in some way, free from their cages, and very friendly?",Circus Mirandus by Cassie Beasley (p. 164)
Circus Mirandus,Cassie Beasley,iwb,In which book does a breeze blowing through the classroom retie knots to form the message: “Midnight. Follow the wind”?,Circus Mirandus by Cassie Beasley (p. 103)
Circus Mirandus,Cassie Beasley,iwb,In which book does one character try to convince their friend that grandpa’s stories about magic are not real?,Circus Mirandus by Cassie Beasley (p. 52)
Circus Mirandus,Cassie Beasley,iwb,In which book is a family bootlace important to the story?,Circus Mirandus by Cassie Beasley (p. 272)
Circus Mirandus,Cassie Beasley,con,In which book does Gertie jump off a roof believing that Victoria would catch her? ,Circus Mirandus by Cassie Beasley (p. 233)
Circus Mirandus,Cassie Beasley,con,"In Circus Mirandus by Cassie Beasley, what did Ephraim use as an entrance ticket for his first visit to the circus?",A fish (p. 68)
Circus Mirandus,Cassie Beasley,con,"In Circus Mirandus by Cassie Beasley, Ephraim performs the only trick he knows for the Lightbender. What is it?",Ephraim uses his bootlace to tie a knot of great complexity. (p. 118)
Circus Mirandus,Cassie Beasley,con,"In Circus Mirandus by Cassie Beasley, who is the manager of the circus?",Mr. Head (p. 163)
Circus Mirandus,Cassie Beasley,con,"In Circus Mirandus by Cassie Beasley, two of the main characters are a grandfather and grandson. What are their first names?",Ephraim and Micah (p. 178)
Circus Mirandus,Cassie Beasley,con,"In Circus Mirandus by Cassie Beasley, what did Jenny need to do to first see the magic circus?","Just pretend for a second. (and/or) Just say, “It’s a magic circus.” (p. 152)"
Circus Mirandus,Cassie Beasley,con,"In Circus Mirandus by Cassie Beasley, what are the two circus tents that are most intriguing to Ephraim?",The tents of The Bird Woman and The Man Who Bends Light (p. 72)
Circus Mirandus,Cassie Beasley,con,"In Circus Mirandus by Cassie Beasley, who came all the way from Arizona to make sure things were “done correctly” while Grandpa Ephraim was sick?",Aunt Gertrudis (p. 4)
Circus Mirandus,Cassie Beasley,con,"In Circus Mirandus by Cassie Beasley, what type of animal is Chintzy the messenger?",A parrot (p. 81)
Circus Mirandus,Cassie Beasley,con,"In Circus Mirandus by Cassie Beasley, how did Victoria Starling's parents die?",In an airplane accident (p. 140)
Circus Mirandus,Cassie Beasley,con,"In Circus Mirandus by Cassie Beasley, who visited Jenny and Micah in the treehouse, smelling of sewage?",Chintzy the parrot (p. 87)
Circus Mirandus,Cassie Beasley,con,"In Circus Mirandus by Cassie Beasley, Micah teaches Jean something no other elephant knows. What is it?",How to tie knots (p. 168)
Circus Mirandus,Cassie Beasley,con,"In Circus Mirandus by Cassie Beasley, Grandpa Ephraim saved his miracle for his grandson. What was Grandpa Ephraim’s last wish?",For the Lightbender to take Micah to Circus Mirandus (p. 288)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,iwb,In which book is there a teacher named Ms. Hayley?,Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter (p. 16)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,iwb,In which book does the character have a mom named Nina?,Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter (p. 18)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,iwb,In which book does the character have the nickname Cupcake?,Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter (p. 29)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,iwb,In which book does their mom sing “Good Night Sweetheart” before bed?,Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter (p. 37)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,iwb,In which book is there a teacher named Mr. Olsen?,Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter (p. 45)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,iwb,In which book is there a place called Millington Sables?,Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter (p. 63)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,iwb,In which book did they throw a milk carton into the ceiling fan and sprayed the whole school?,Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter (p. 73)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,iwb,In which book does the character eat 11 carrot sticks while waiting?,Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter (p. 76)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,iwb,In which book is their principal named Principal Dickens?,Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter (p. 99)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,iwb,In which book do they bury their happy meal toys in the snow?,Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter (p. 128)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,iwb,In which book is there a map on yellow paper drawn with a pink marker?,Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter (p. 131)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,iwb,In which book do they receive a purple party invitation with sparkly gold ink? ,Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter (p. 144)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,iwb,In which book do they play ultimate Uno?,Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter (p. 173)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,iwb,In which book do they hate mashed potatoes?,Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter (p. 208)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,iwb,In which book do they play ballet HORSE?,Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter (p. 220)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,con,"In Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter, what is the name of the farm where the horse Summer camp is going to be?",Cruxman Farms (p. 6)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,con,"In Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter, what color does Gwendolyn associate with the feeling of anger?",Blue (p. 28)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,con,"In Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter, what does Gwendolyn say that fish oil smells like?",Poison (p. 33)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,con,"In Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter, what color is Tyler’s backpack?",Purple (p. 43)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,con,"In Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter, what is the name of Gwendolyn’s school?",Banneker Charter Middle School (p. 83)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,con,"In Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter, what topic do Thais and Gwendolyn chose to study for their project?",Dolphin (p. 49)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,con,"In Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter, during her 3rd grade assessment what does the color green signify?",That she’s exceeding (p. 57)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,con,"In Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter, what color is Tyler’s laptop?",Blue (p. 86)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,con,"In Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter, what is the name of Hettie’s brother?",Nolan (p. 104)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,con,"In Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter, what is Gwendolyn’s higher power?",Confidence (p. 141)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,con,"In Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter, what is Thais’ last name? ",Gonzalez (p. 144)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,con,"In Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter, what is the grand prize that Gwendolyn wins in Mr. Olsen’s class?",A Rubik’s Cube (p. 205)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,con,"In Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter, what is Hettie’s response to Gwendolyn’s text “U WERE RITE! I’ll be at camp!”",I (heart emoji) you (p. 255)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,con,"In Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter, what color glasses does Marty’s mom have?",Pink (p. 261)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,con,"In Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter, what does the flag say hanging in Marty’s room?",PRIDE (p. 262)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,con,"In Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter, what is Hettie’s last name?",McFee (p. 295)
Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter,con,"In Fifty-Four Things Wrong with Gwendolyn Rogers by Caela Carter, what is the first item on the Awesome Things About Ryler Rogers list?",Does the best tightest braids (p. 309)
Frizzy,Claribel A. Ortega and Rose Bousamra,iwb,In which book is a Sunday trip to the hair salon a weekly family tradition?,Frizzy by Claribel A. Ortega and Rose Bousamra (p. 16)
Frizzy,Claribel A. Ortega and Rose Bousamra,iwb,In which book do two girls end up crying together in a closet because they don’t compare well to Diana?,Frizzy by Claribel A. Ortega and Rose Bousamra (p. 34)
Frizzy,Claribel A. Ortega and Rose Bousamra,iwb,In which book does the main character say they don’t want to see family sometimes because they are worried they will make fun of them?,Frizzy by Claribel A. Ortega and Rose Bousamra (p. 51)
Frizzy,Claribel A. Ortega and Rose Bousamra,iwb,"In which book does the main character wonder if they could make their hair be “what it was supposed to be,” then people would let them be themself?",Frizzy by Claribel A. Ortega and Rose Bousamra (p. 63)
Frizzy,Claribel A. Ortega and Rose Bousamra,iwb,"In which book is someone teased by being told they look like they got electrocuted, and they look like Chewbacca?",Frizzy by Claribel A. Ortega and Rose Bousamra (p.84-85)
Frizzy,Claribel A. Ortega and Rose Bousamra,iwb,In which book does a mother say that straightened hair makes it easier to fit in and looks more professional?,Frizzy by Claribel A. Ortega and Rose Bousamra (p.132)
